PIN-0035;PASTA PROFESIONAL SUDDEN BOND;UND;;37.88;11;11;0;PINTURA;ACTIVO
HER-0035;PALUSTRAS LISAS;UND;;7.90;7;0;7;HERRAMIENTAS;ACTIVO
CON-0117;PLAFON 1.20 75W;UND;;16.00;1;1;0;CONSUMIBLES;ACTIVO
HER-0036;PANEL LED 18W;UND;;8.00;1;1;0;HERRAMIENTAS;ACTIVO
CON-0118;PAVCO AF RED.SOL.1;UND;;1.83;1;1;0;CONSUMIBLES;ACTIVO
HER-0037;PAVCO AF ADAP M.1;UND;;1.32;1;1;0;HERRAMIENTAS;ACTIVO
HER-0038;PIZARRA DE CLASES;UND;;81.13;4;0;4;HERRAMIENTAS;ACTIVO
PLO-0085;PROMO RIEL 20W;UND;;56.43;1;1;0;PLOMERIA;ACTIVO
ELE-0204;PRIMER SUPER EDIL;UND;;27.00;3;3;0;ELECTRICIDAD;ACTIVO
ELE-0205;PROBASE FIJADOR SELLADOR ACRIL;UND;;23.93;1;1;0;ELECTRICIDAD;ACTIVO
PLO-0086;PROMO RIEL 20W;UND;;56.43;1;1;0;PLOMERIA;ACTIVO
PLO-0087;PLASTICO NEGRO 3X5;UND;;29.22;1;1;0;PLOMERIA;ACTIVO
PLO-0088;PEGA PVC 1/4;UND;;15.37;2;2;0;PLOMERIA;ACTIVO
PLO-0089;PIEDRA PICADA;UND;;31.49;1;1;0;PLOMERIA;ACTIVO
MAT-0102;PLETINAS 1X3/16X6MTS;UND;;14.11;10;10;0;MATERIALES;ACTIVO
MAT-0103;PLETINA 1 1/4X3/16X6;UND;;17.64;2;2;0;MATERIALES;ACTIVO
MAT-0104;PARAL 1.5/8X3.04;UND;;5.50;46;46;0;MATERIALES;ACTIVO
MAT-0105;PERFIL PVC UNION H;UND;;18.19;25;25;0;MATERIALES;ACTIVO
PLO-0090;QUITA TELARAÑAS;UND;;6.00;1;0;1;PLOMERIA;ACTIVO
PLO-0091;REFRIGERANTE R410 CILINDRO 11.35KG;UND;;147.70;2;1;1;PLOMERIA;ACTIVO
PLO-0092;ROUTER HUAWEI 5G;UND;;36.00;1;0;1;PLOMERIA;ACTIVO
PLO-0093;ROUTER CISCO MERAKI;UND;;0;2;0;2;PLOMERIA;ACTIVO
PLO-0094;REMATE ESCALON ALUMINIO NAT;UND;;32.00;4;4;0;PLOMERIA;ACTIVO
CON-0119;"RODILLO 4"" PARED LISA";UND;;3.01;1;1;0;CONSUMIBLES;ACTIVO
MAT-0106;RAMPLUS VERDE;UND;;0.05;300;300;0;MATERIALES;ACTIVO
MAT-0107;ROCETA;UND;;1.50;11;8;3;MATERIALES;ACTIVO
PLO-0095;RAMPLU ANARANJADO;UND;;0.23;5;5;0;PLOMERIA;ACTIVO
PLO-0096;REGILLAS ANTI OLOR;UND;;13.01;0;0;0;PLOMERIA;ACTIVO
PLO-0097;RAMPLUS AZUL;UND;;1.43;1;1;0;PLOMERIA;ACTIVO
PLO-0098;RAMPLUS MARIPOSA C/TORNILLO 3/16;UND;;2.16;50;50;0;PLOMERIA;ACTIVO
PLO-0099;ROJO MOLAGO;UND;;35.32;1;0;1;PLOMERIA;ACTIVO
PLO-0100;REFLECTOR LED 400W;UND;;87.00;2;2;0;PLOMERIA;ACTIVO
PLO-0101;"REGADERA CROMADA 8""";UND;;10.00;1;0;1;PLOMERIA;ACTIVO
PLO-0102;REGILLAS COLMENA BLANCAS PLASTICAS;UND;;18.92;9;3;6;PLOMERIA;ACTIVO
ELE-0206;REGLETA NUEVA CON BASE;UND;;0;1;0;1;ELECTRICIDAD;ACTIVO
ELE-0207;REPUESTOS DE HOJILLA;UND;;5.00;3;0;3;ELECTRICIDAD;ACTIVO
ELE-0208;ROLLOS DE TEIPE;UND;;3.41;4;4;0;ELECTRICIDAD;ACTIVO
ELE-0209;REMACHES CIEGOS;UND;;12.01;268;268;0;ELECTRICIDAD;ACTIVO
ELE-0210;RAMPLUS EXPANSIVOS 3/4;UND;;3.00;2;0;2;ELECTRICIDAD;ACTIVO
ELE-0211;ROLLO DE ESTAÑO;UND;;5.00;1;0;1;ELECTRICIDAD;ACTIVO
ELE-0212;RUBI;UND;;5.00;2;1;1;ELECTRICIDAD;ACTIVO
ELE-0213;REJILLA CROM/CUAD ABIERTA GRIVEN;UND;;4.28;1;1;0;ELECTRICIDAD;ACTIVO
ELE-0214;ROLLOS CINTA LISA DRYWALL;UND;;9.76;7;1;6;ELECTRICIDAD;ACTIVO
ELE-0215;REMACHES CIEGOS 1/8X20 (1000);UND;;1.20;1;1;0;ELECTRICIDAD;ACTIVO
ELE-0216;REFLECTOR 250W;UND;;75.00;3;3;0;ELECTRICIDAD;ACTIVO
ELE-0217;RUEDAS PARA PIZARRA;UND;;2.40;16;0;16;ELECTRICIDAD;ACTIVO
ELE-0218;REMACHES CIEGOS NEGROS;UND;;7.99;150;0;150;ELECTRICIDAD;ACTIVO
ELE-0219;RELOJES DE PARED;UND;;13.00;16;16;0;ELECTRICIDAD;ACTIVO
ELE-0220;RAMPLUS MARIPOSA C/TORNILLO 1/4 COD1986;UND;;1.10;0;0;0;ELECTRICIDAD;ACTIVO
ELE-0221;ROLLOS PAPEL ADHERENTE TEMPLO;UND;;350.00;4;0;4;ELECTRICIDAD;ACTIVO
ELE-0222;REFLECTOR 200W;UND;;56.66;1;1;0;ELECTRICIDAD;ACTIVO
ELE-0223;SACO DE PEGO 10KG;UND;;4.00;947;845;102;ELECTRICIDAD;ACTIVO
ELE-0224;SACOS DE CEMENTO BLANCO;UND;;2.16;15;15;0;ELECTRICIDAD;ACTIVO
ELE-0225;SOFITO BASE INTERMEDIA AV2000;UND;;35.32;3;0;3;ELECTRICIDAD;ACTIVO
ELE-0226;SILICON TRANSPARENTE TUBO;UND;;6.21;28;28;0;ELECTRICIDAD;ACTIVO
ELE-0227;SELLADOR CONCENTRADO;UND;;47.00;1;1;0;ELECTRICIDAD;ACTIVO
ELE-0228;STUC KOLOR;UND;;0;3;0;3;ELECTRICIDAD;ACTIVO
ELE-0229;SACO DE YESO KILO;UND;;0.75;50;50;0;ELECTRICIDAD;ACTIVO
CON-0120;SIFON DE PISO;UND;;22.00;3;3;0;CONSUMIBLES;ACTIVO
ELE-0230;1/4 DE SOLDADURA PVC;UND;;8.70;2;2;0;ELECTRICIDAD;ACTIVO
ELE-0231;SIKADUR 32L 670GR PART A 1/4;UND;;41.00;4;3;1;ELECTRICIDAD;ACTIVO
